Episode, Total Reward, Epsilon, Best Reward
1, -10.00, 1.0000, -10.00
2, -10.00, 1.0000, -10.00
3, -10.00, 1.0000, -10.00
4, -10.00, 1.0000, -10.00
5, -10.00, 1.0000, -10.00
6, 20.00, 1.0000, 20.00
7, -10.00, 1.0000, 20.00
8, -20.00, 1.0000, 20.00
9, -10.00, 1.0000, 20.00
10, -10.00, 1.0000, 20.00
11, 0.00, 1.0000, 20.00
12, -10.00, 1.0000, 20.00
13, 20.00, 1.0000, 20.00
14, -10.00, 1.0000, 20.00
15, -10.00, 1.0000, 20.00
16, -10.00, 1.0000, 20.00
17, -10.00, 1.0000, 20.00
18, -10.00, 1.0000, 20.00
19, -10.00, 1.0000, 20.00
20, 0.00, 1.0000, 20.00
21, 0.00, 1.0000, 20.00
22, -10.00, 1.0000, 20.00
23, 0.00, 1.0000, 20.00
24, 0.00, 1.0000, 20.00
25, -10.00, 1.0000, 20.00
26, 0.00, 1.0000, 20.00
27, -10.00, 1.0000, 20.00
28, 0.00, 1.0000, 20.00
29, -10.00, 1.0000, 20.00
30, 0.00, 1.0000, 20.00
31, -10.00, 1.0000, 20.00
32, 0.00, 1.0000, 20.00
33, -10.00, 1.0000, 20.00
34, -10.00, 1.0000, 20.00
35, -10.00, 1.0000, 20.00
36, -20.00, 1.0000, 20.00
37, -10.00, 1.0000, 20.00
38, -10.00, 1.0000, 20.00
39, -10.00, 1.0000, 20.00
40, -10.00, 1.0000, 20.00
41, -10.00, 1.0000, 20.00
42, 0.00, 1.0000, 20.00
43, -10.00, 1.0000, 20.00
44, 50.00, 1.0000, 50.00
45, 20.00, 1.0000, 50.00
46, -10.00, 1.0000, 50.00
47, -10.00, 1.0000, 50.00
48, -10.00, 1.0000, 50.00
49, 0.00, 1.0000, 50.00
50, -10.00, 1.0000, 50.00
51, -10.00, 1.0000, 50.00
52, -10.00, 1.0000, 50.00
53, -10.00, 1.0000, 50.00
54, -10.00, 1.0000, 50.00
55, -10.00, 1.0000, 50.00
56, -10.00, 1.0000, 50.00
57, -10.00, 1.0000, 50.00
58, 0.00, 1.0000, 50.00
59, -10.00, 1.0000, 50.00
60, -10.00, 1.0000, 50.00
61, 0.00, 1.0000, 50.00
62, -20.00, 1.0000, 50.00
63, -10.00, 1.0000, 50.00
64, -10.00, 1.0000, 50.00
65, -10.00, 1.0000, 50.00
66, 0.00, 1.0000, 50.00
67, 0.00, 1.0000, 50.00
68, -10.00, 1.0000, 50.00
69, -10.00, 1.0000, 50.00
70, 0.00, 1.0000, 50.00
71, -20.00, 1.0000, 50.00
72, -10.00, 1.0000, 50.00
73, -10.00, 1.0000, 50.00
74, 140.00, 1.0000, 140.00
75, -10.00, 1.0000, 140.00
76, 0.00, 1.0000, 140.00
77, 0.00, 1.0000, 140.00
78, -10.00, 1.0000, 140.00
79, -20.00, 1.0000, 140.00
80, -10.00, 1.0000, 140.00
81, -10.00, 1.0000, 140.00
82, -10.00, 1.0000, 140.00
83, -20.00, 1.0000, 140.00
84, -10.00, 1.0000, 140.00
85, -10.00, 1.0000, 140.00
86, -10.00, 1.0000, 140.00
87, -10.00, 1.0000, 140.00
88, -10.00, 1.0000, 140.00
89, -10.00, 1.0000, 140.00
90, -10.00, 1.0000, 140.00
91, 0.00, 1.0000, 140.00
92, -10.00, 1.0000, 140.00
93, 0.00, 1.0000, 140.00
94, -10.00, 1.0000, 140.00
95, -10.00, 1.0000, 140.00
96, -10.00, 1.0000, 140.00
97, -10.00, 1.0000, 140.00
98, -10.00, 1.0000, 140.00
99, -10.00, 1.0000, 140.00
100, -10.00, 1.0000, 140.00
101, -10.00, 1.0000, 140.00
102, -10.00, 1.0000, 140.00
103, -10.00, 1.0000, 140.00
104, -10.00, 1.0000, 140.00
105, -10.00, 1.0000, 140.00
106, -10.00, 1.0000, 140.00
107, 0.00, 1.0000, 140.00
108, -10.00, 1.0000, 140.00
109, -10.00, 1.0000, 140.00
110, 0.00, 1.0000, 140.00
111, 0.00, 1.0000, 140.00
112, -10.00, 1.0000, 140.00
113, 50.00, 1.0000, 140.00
114, -10.00, 1.0000, 140.00
115, -10.00, 1.0000, 140.00
116, -10.00, 1.0000, 140.00
117, -10.00, 1.0000, 140.00
118, -10.00, 1.0000, 140.00
119, -10.00, 1.0000, 140.00
120, 0.00, 1.0000, 140.00
121, -10.00, 1.0000, 140.00
122, 0.00, 1.0000, 140.00
123, -10.00, 1.0000, 140.00
124, -10.00, 1.0000, 140.00
125, -10.00, 1.0000, 140.00
126, -10.00, 1.0000, 140.00
127, 0.00, 1.0000, 140.00
128, -10.00, 1.0000, 140.00
129, 0.00, 1.0000, 140.00
130, -10.00, 1.0000, 140.00
131, -10.00, 1.0000, 140.00
132, -10.00, 1.0000, 140.00
133, -10.00, 1.0000, 140.00
134, -20.00, 1.0000, 140.00
135, -10.00, 1.0000, 140.00
136, -10.00, 1.0000, 140.00
137, 0.00, 1.0000, 140.00
138, -20.00, 1.0000, 140.00
139, -10.00, 1.0000, 140.00
140, -10.00, 1.0000, 140.00
141, -10.00, 1.0000, 140.00
142, -10.00, 1.0000, 140.00
143, 0.00, 1.0000, 140.00
144, -10.00, 1.0000, 140.00
145, -10.00, 1.0000, 140.00
146, -10.00, 1.0000, 140.00
147, -10.00, 1.0000, 140.00
148, -10.00, 1.0000, 140.00
149, -10.00, 1.0000, 140.00
150, -10.00, 1.0000, 140.00
151, -10.00, 1.0000, 140.00
152, -10.00, 1.0000, 140.00
153, 20.00, 1.0000, 140.00
154, -10.00, 1.0000, 140.00
155, -10.00, 1.0000, 140.00
156, -20.00, 1.0000, 140.00
157, 0.00, 1.0000, 140.00
158, -10.00, 1.0000, 140.00
159, -10.00, 1.0000, 140.00
160, 0.00, 1.0000, 140.00
161, 0.00, 1.0000, 140.00
162, -10.00, 1.0000, 140.00
163, -10.00, 1.0000, 140.00
164, -20.00, 1.0000, 140.00
165, -10.00, 1.0000, 140.00
166, 0.00, 1.0000, 140.00
167, -10.00, 1.0000, 140.00
168, 0.00, 1.0000, 140.00
169, -10.00, 1.0000, 140.00
170, -10.00, 1.0000, 140.00
171, 20.00, 1.0000, 140.00
172, -10.00, 1.0000, 140.00
173, 0.00, 1.0000, 140.00
174, 0.00, 1.0000, 140.00
175, -10.00, 1.0000, 140.00
176, -10.00, 1.0000, 140.00
177, -10.00, 1.0000, 140.00
178, 0.00, 1.0000, 140.00
179, -10.00, 1.0000, 140.00
180, -10.00, 1.0000, 140.00
181, -10.00, 1.0000, 140.00
182, -10.00, 1.0000, 140.00
183, 0.00, 1.0000, 140.00
184, -10.00, 1.0000, 140.00
185, -10.00, 1.0000, 140.00
186, -10.00, 1.0000, 140.00
187, -10.00, 1.0000, 140.00
188, -10.00, 1.0000, 140.00
189, -10.00, 1.0000, 140.00
190, -10.00, 1.0000, 140.00
191, -10.00, 1.0000, 140.00
192, -10.00, 1.0000, 140.00
193, -10.00, 1.0000, 140.00
194, -10.00, 1.0000, 140.00
195, -10.00, 1.0000, 140.00
196, -10.00, 1.0000, 140.00
197, -10.00, 1.0000, 140.00
198, 0.00, 1.0000, 140.00
199, 0.00, 1.0000, 140.00
200, 0.00, 1.0000, 140.00
201, -10.00, 1.0000, 140.00
202, -10.00, 1.0000, 140.00
203, 0.00, 1.0000, 140.00
204, -10.00, 1.0000, 140.00
205, -10.00, 1.0000, 140.00
206, 0.00, 1.0000, 140.00
207, -20.00, 1.0000, 140.00
208, -20.00, 1.0000, 140.00
209, -10.00, 1.0000, 140.00
210, 0.00, 1.0000, 140.00
211, -10.00, 1.0000, 140.00
212, -10.00, 1.0000, 140.00
213, -10.00, 1.0000, 140.00
214, -10.00, 1.0000, 140.00
215, -10.00, 1.0000, 140.00
216, -10.00, 1.0000, 140.00
217, 0.00, 1.0000, 140.00
218, -10.00, 1.0000, 140.00
219, -10.00, 1.0000, 140.00
220, -10.00, 1.0000, 140.00
221, -10.00, 1.0000, 140.00
222, -10.00, 1.0000, 140.00
223, -10.00, 1.0000, 140.00
224, -10.00, 1.0000, 140.00
225, -10.00, 1.0000, 140.00
226, -10.00, 1.0000, 140.00
227, -20.00, 1.0000, 140.00
228, 0.00, 1.0000, 140.00
229, -10.00, 1.0000, 140.00
230, -10.00, 1.0000, 140.00
231, -10.00, 1.0000, 140.00
232, -10.00, 1.0000, 140.00
233, -10.00, 1.0000, 140.00
234, -10.00, 1.0000, 140.00
235, -10.00, 1.0000, 140.00
236, -10.00, 1.0000, 140.00
237, -10.00, 1.0000, 140.00
238, -10.00, 1.0000, 140.00
239, -10.00, 1.0000, 140.00
240, -10.00, 1.0000, 140.00
241, -10.00, 1.0000, 140.00
242, -10.00, 1.0000, 140.00
243, -10.00, 1.0000, 140.00
244, -20.00, 1.0000, 140.00
245, -10.00, 1.0000, 140.00
246, -10.00, 1.0000, 140.00
247, -10.00, 1.0000, 140.00
248, -10.00, 1.0000, 140.00
249, -10.00, 1.0000, 140.00
250, -10.00, 1.0000, 140.00
251, -10.00, 1.0000, 140.00
252, 0.00, 1.0000, 140.00
253, -10.00, 1.0000, 140.00
254, -10.00, 1.0000, 140.00
255, -20.00, 1.0000, 140.00
256, -10.00, 1.0000, 140.00
257, -10.00, 1.0000, 140.00
258, -10.00, 1.0000, 140.00
259, 0.00, 1.0000, 140.00
260, 50.00, 1.0000, 140.00
261, -10.00, 1.0000, 140.00
262, -10.00, 1.0000, 140.00
263, -10.00, 1.0000, 140.00
264, -10.00, 1.0000, 140.00
265, -10.00, 1.0000, 140.00
266, -10.00, 1.0000, 140.00
267, -10.00, 1.0000, 140.00
268, -10.00, 1.0000, 140.00
269, -10.00, 1.0000, 140.00
270, -10.00, 1.0000, 140.00
271, -10.00, 1.0000, 140.00
272, -10.00, 1.0000, 140.00
273, -10.00, 1.0000, 140.00
274, 20.00, 1.0000, 140.00
275, -10.00, 1.0000, 140.00
276, -20.00, 1.0000, 140.00
277, -10.00, 1.0000, 140.00
278, -10.00, 1.0000, 140.00
279, -20.00, 1.0000, 140.00
280, -10.00, 1.0000, 140.00
281, -10.00, 1.0000, 140.00
282, -20.00, 1.0000, 140.00
283, -10.00, 1.0000, 140.00
284, 0.00, 1.0000, 140.00
285, -10.00, 1.0000, 140.00
286, -10.00, 1.0000, 140.00
287, 0.00, 1.0000, 140.00
288, -10.00, 1.0000, 140.00
289, -10.00, 1.0000, 140.00
290, -10.00, 1.0000, 140.00
291, 90.00, 1.0000, 140.00
292, 0.00, 1.0000, 140.00
293, -10.00, 1.0000, 140.00
294, -10.00, 1.0000, 140.00
295, -10.00, 1.0000, 140.00
296, -10.00, 1.0000, 140.00
297, -10.00, 1.0000, 140.00
298, -10.00, 1.0000, 140.00
299, -10.00, 1.0000, 140.00
300, 0.00, 1.0000, 140.00
301, -10.00, 1.0000, 140.00
302, -10.00, 1.0000, 140.00
