Episode, Total Reward, Epsilon, Best Reward
1, -10.00, 1.0000, -10.00
2, -10.00, 1.0000, -10.00
3, 20.00, 1.0000, 20.00
4, 0.00, 1.0000, 20.00
5, -10.00, 1.0000, 20.00
6, -10.00, 1.0000, 20.00
7, -10.00, 1.0000, 20.00
8, 0.00, 1.0000, 20.00
9, 20.00, 1.0000, 20.00
10, -10.00, 1.0000, 20.00
11, 0.00, 1.0000, 20.00
12, 0.00, 1.0000, 20.00
13, 0.00, 1.0000, 20.00
14, 0.00, 1.0000, 20.00
15, -10.00, 1.0000, 20.00
16, -10.00, 1.0000, 20.00
17, -10.00, 1.0000, 20.00
18, 0.00, 1.0000, 20.00
19, 0.00, 1.0000, 20.00
20, 0.00, 1.0000, 20.00
21, -10.00, 1.0000, 20.00
22, -10.00, 1.0000, 20.00
23, 20.00, 1.0000, 20.00
24, -10.00, 1.0000, 20.00
25, 0.00, 1.0000, 20.00
26, 0.00, 1.0000, 20.00
27, 0.00, 1.0000, 20.00
28, -10.00, 1.0000, 20.00
29, -10.00, 1.0000, 20.00
30, 0.00, 1.0000, 20.00
31, 20.00, 1.0000, 20.00
32, 0.00, 1.0000, 20.00
33, -10.00, 1.0000, 20.00
34, 20.00, 1.0000, 20.00
35, -10.00, 1.0000, 20.00
36, -10.00, 1.0000, 20.00
37, -10.00, 1.0000, 20.00
38, 0.00, 1.0000, 20.00
39, 0.00, 1.0000, 20.00
40, -10.00, 1.0000, 20.00
41, 0.00, 1.0000, 20.00
42, 0.00, 1.0000, 20.00
43, -10.00, 1.0000, 20.00
44, -10.00, 1.0000, 20.00
45, -10.00, 1.0000, 20.00
46, -10.00, 1.0000, 20.00
47, -10.00, 1.0000, 20.00
48, 0.00, 1.0000, 20.00
49, 0.00, 1.0000, 20.00
50, -10.00, 1.0000, 20.00
51, 0.00, 1.0000, 20.00
52, -10.00, 1.0000, 20.00
53, -10.00, 1.0000, 20.00
54, 0.00, 1.0000, 20.00
55, -10.00, 1.0000, 20.00
56, -10.00, 1.0000, 20.00
57, -10.00, 1.0000, 20.00
58, -10.00, 1.0000, 20.00
59, -10.00, 1.0000, 20.00
60, 0.00, 1.0000, 20.00
61, -10.00, 1.0000, 20.00
62, -10.00, 1.0000, 20.00
63, -10.00, 1.0000, 20.00
64, 0.00, 1.0000, 20.00
65, -10.00, 1.0000, 20.00
66, -10.00, 1.0000, 20.00
67, -10.00, 1.0000, 20.00
68, -10.00, 1.0000, 20.00
69, 0.00, 1.0000, 20.00
70, 0.00, 1.0000, 20.00
71, 0.00, 1.0000, 20.00
72, -10.00, 1.0000, 20.00
73, -10.00, 1.0000, 20.00
74, -10.00, 1.0000, 20.00
75, -10.00, 1.0000, 20.00
76, 20.00, 1.0000, 20.00
77, 50.00, 1.0000, 50.00
78, -10.00, 1.0000, 50.00
79, -10.00, 1.0000, 50.00
80, 0.00, 1.0000, 50.00
81, -10.00, 1.0000, 50.00
82, -10.00, 1.0000, 50.00
83, 0.00, 1.0000, 50.00
84, 0.00, 1.0000, 50.00
85, -10.00, 1.0000, 50.00
86, -10.00, 1.0000, 50.00
87, -10.00, 1.0000, 50.00
88, -10.00, 1.0000, 50.00
89, -10.00, 1.0000, 50.00
90, -10.00, 1.0000, 50.00
91, -10.00, 1.0000, 50.00
92, -10.00, 1.0000, 50.00
93, -10.00, 1.0000, 50.00
94, 0.00, 1.0000, 50.00
95, -10.00, 1.0000, 50.00
96, -10.00, 1.0000, 50.00
97, -10.00, 1.0000, 50.00
98, -10.00, 1.0000, 50.00
99, -10.00, 1.0000, 50.00
100, -10.00, 1.0000, 50.00
101, -10.00, 1.0000, 50.00
102, -10.00, 1.0000, 50.00
103, 0.00, 1.0000, 50.00
104, -10.00, 1.0000, 50.00
105, -10.00, 1.0000, 50.00
106, 20.00, 1.0000, 50.00
107, -10.00, 1.0000, 50.00
108, -10.00, 1.0000, 50.00
109, 50.00, 1.0000, 50.00
110, -10.00, 1.0000, 50.00
111, -10.00, 1.0000, 50.00
112, -10.00, 1.0000, 50.00
113, -10.00, 1.0000, 50.00
114, -10.00, 1.0000, 50.00
115, -10.00, 1.0000, 50.00
116, -10.00, 1.0000, 50.00
117, -10.00, 1.0000, 50.00
118, -10.00, 1.0000, 50.00
119, -10.00, 1.0000, 50.00
120, -10.00, 1.0000, 50.00
121, -10.00, 1.0000, 50.00
122, -10.00, 1.0000, 50.00
123, 0.00, 1.0000, 50.00
124, 0.00, 1.0000, 50.00
125, 0.00, 1.0000, 50.00
126, -10.00, 1.0000, 50.00
127, 0.00, 1.0000, 50.00
128, 0.00, 1.0000, 50.00
129, -10.00, 1.0000, 50.00
130, -10.00, 1.0000, 50.00
131, -10.00, 1.0000, 50.00
132, 50.00, 1.0000, 50.00
133, -10.00, 1.0000, 50.00
134, 0.00, 1.0000, 50.00
135, -10.00, 1.0000, 50.00
136, -10.00, 1.0000, 50.00
137, -10.00, 1.0000, 50.00
138, 20.00, 1.0000, 50.00
139, -10.00, 1.0000, 50.00
140, -10.00, 1.0000, 50.00
141, -10.00, 1.0000, 50.00
142, -10.00, 1.0000, 50.00
143, 0.00, 1.0000, 50.00
144, -10.00, 1.0000, 50.00
145, 0.00, 1.0000, 50.00
146, -10.00, 1.0000, 50.00
147, -10.00, 1.0000, 50.00
148, 0.00, 1.0000, 50.00
149, -10.00, 1.0000, 50.00
150, -10.00, 1.0000, 50.00
151, -10.00, 1.0000, 50.00
152, 0.00, 1.0000, 50.00
153, -10.00, 1.0000, 50.00
154, -10.00, 1.0000, 50.00
155, 0.00, 1.0000, 50.00
156, -10.00, 1.0000, 50.00
157, -10.00, 1.0000, 50.00
158, -10.00, 1.0000, 50.00
159, -10.00, 1.0000, 50.00
160, 0.00, 1.0000, 50.00
161, -10.00, 1.0000, 50.00
162, -10.00, 1.0000, 50.00
163, -10.00, 1.0000, 50.00
164, 0.00, 1.0000, 50.00
165, -10.00, 1.0000, 50.00
166, -10.00, 1.0000, 50.00
167, -10.00, 1.0000, 50.00
168, -10.00, 1.0000, 50.00
169, 50.00, 1.0000, 50.00
170, -10.00, 1.0000, 50.00
171, -10.00, 1.0000, 50.00
172, 0.00, 1.0000, 50.00
173, 0.00, 1.0000, 50.00
174, 0.00, 1.0000, 50.00
175, -10.00, 1.0000, 50.00
176, -10.00, 1.0000, 50.00
177, 0.00, 1.0000, 50.00
178, -10.00, 1.0000, 50.00
179, -10.00, 1.0000, 50.00
180, -10.00, 1.0000, 50.00
181, -10.00, 1.0000, 50.00
182, -10.00, 1.0000, 50.00
183, -10.00, 1.0000, 50.00
184, 0.00, 1.0000, 50.00
185, -10.00, 1.0000, 50.00
186, -10.00, 1.0000, 50.00
187, -10.00, 1.0000, 50.00
188, 0.00, 1.0000, 50.00
189, -10.00, 1.0000, 50.00
190, -10.00, 1.0000, 50.00
191, -10.00, 1.0000, 50.00
192, -10.00, 1.0000, 50.00
193, -10.00, 1.0000, 50.00
194, -10.00, 1.0000, 50.00
195, -10.00, 1.0000, 50.00
196, 0.00, 1.0000, 50.00
197, 0.00, 1.0000, 50.00
198, -10.00, 1.0000, 50.00
199, -10.00, 1.0000, 50.00
200, 0.00, 1.0000, 50.00
201, -10.00, 1.0000, 50.00
202, -10.00, 1.0000, 50.00
203, 50.00, 1.0000, 50.00
204, -10.00, 1.0000, 50.00
205, -10.00, 1.0000, 50.00
206, -10.00, 1.0000, 50.00
207, -10.00, 1.0000, 50.00
208, -10.00, 1.0000, 50.00
209, -10.00, 1.0000, 50.00
210, 0.00, 1.0000, 50.00
211, 0.00, 1.0000, 50.00
212, -10.00, 1.0000, 50.00
213, 0.00, 1.0000, 50.00
214, -10.00, 1.0000, 50.00
215, -10.00, 1.0000, 50.00
216, 0.00, 1.0000, 50.00
217, 0.00, 1.0000, 50.00
218, 0.00, 1.0000, 50.00
219, 0.00, 1.0000, 50.00
220, -10.00, 1.0000, 50.00
221, 20.00, 1.0000, 50.00
222, -10.00, 1.0000, 50.00
223, -10.00, 1.0000, 50.00
224, -10.00, 1.0000, 50.00
225, -10.00, 1.0000, 50.00
226, -10.00, 1.0000, 50.00
227, 50.00, 1.0000, 50.00
228, -10.00, 1.0000, 50.00
229, -10.00, 1.0000, 50.00
230, 50.00, 1.0000, 50.00
231, -10.00, 1.0000, 50.00
232, -10.00, 1.0000, 50.00
233, -10.00, 1.0000, 50.00
234, -10.00, 1.0000, 50.00
235, -10.00, 1.0000, 50.00
236, -10.00, 1.0000, 50.00
237, 0.00, 1.0000, 50.00
238, 0.00, 1.0000, 50.00
239, -10.00, 1.0000, 50.00
240, -10.00, 1.0000, 50.00
241, -10.00, 1.0000, 50.00
242, -10.00, 1.0000, 50.00
243, 20.00, 1.0000, 50.00
244, -10.00, 1.0000, 50.00
245, -10.00, 1.0000, 50.00
246, -10.00, 1.0000, 50.00
247, 0.00, 1.0000, 50.00
248, -10.00, 1.0000, 50.00
249, 20.00, 1.0000, 50.00
250, 0.00, 1.0000, 50.00
251, -10.00, 1.0000, 50.00
252, -10.00, 1.0000, 50.00
253, -10.00, 1.0000, 50.00
254, 0.00, 1.0000, 50.00
255, 0.00, 1.0000, 50.00
256, 0.00, 1.0000, 50.00
257, 0.00, 1.0000, 50.00
258, -10.00, 1.0000, 50.00
259, -10.00, 1.0000, 50.00
260, -10.00, 1.0000, 50.00
261, -10.00, 1.0000, 50.00
262, -10.00, 1.0000, 50.00
263, 0.00, 1.0000, 50.00
264, -10.00, 1.0000, 50.00
265, -10.00, 1.0000, 50.00
266, -10.00, 1.0000, 50.00
267, -10.00, 1.0000, 50.00
268, 0.00, 1.0000, 50.00
269, 0.00, 1.0000, 50.00
270, 20.00, 1.0000, 50.00
271, -10.00, 1.0000, 50.00
272, -10.00, 1.0000, 50.00
273, 0.00, 1.0000, 50.00
274, -10.00, 1.0000, 50.00
275, -10.00, 1.0000, 50.00
276, -10.00, 1.0000, 50.00
277, -10.00, 1.0000, 50.00
278, 20.00, 1.0000, 50.00
279, -10.00, 1.0000, 50.00
280, 0.00, 1.0000, 50.00
281, -10.00, 1.0000, 50.00
282, 0.00, 1.0000, 50.00
283, -10.00, 1.0000, 50.00
284, 20.00, 1.0000, 50.00
285, 0.00, 1.0000, 50.00
286, -10.00, 1.0000, 50.00
287, 0.00, 1.0000, 50.00
288, 0.00, 1.0000, 50.00
289, -10.00, 1.0000, 50.00
290, -10.00, 1.0000, 50.00
291, -10.00, 1.0000, 50.00
292, -10.00, 1.0000, 50.00
293, -10.00, 1.0000, 50.00
294, -10.00, 1.0000, 50.00
295, 140.00, 1.0000, 140.00
296, -10.00, 1.0000, 140.00
297, 0.00, 1.0000, 140.00
298, -10.00, 1.0000, 140.00
299, 20.00, 1.0000, 140.00
300, 0.00, 1.0000, 140.00
301, 0.00, 1.0000, 140.00
302, 0.00, 1.0000, 140.00
